

   ___                              _    
  / _ \     ___  ___ _ __ __ _  ___| | __ 
 / /_\/____/ __|/ __| '__/ _` |/ __| |/ /
/ /_\\_____\__ \ (__| | | (_| | (__|   <    
\____/     |___/\___|_|  \__,_|\___|_|\_\   
                     fscan version: 1.8.2
start infoscan
(icmp) Target 10.208.2.64     is alive
(icmp) Target 10.208.1.250    is alive
(icmp) Target 10.208.1.249    is alive
(icmp) Target 10.208.1.1      is alive
(icmp) Target 10.208.2.145    is alive
(icmp) Target 10.208.5.1      is alive
(icmp) Target 10.208.4.133    is alive
(icmp) Target 10.208.4.132    is alive
(icmp) Target 10.208.5.2      is alive
(icmp) Target 10.208.5.202    is alive
(icmp) Target 10.208.5.214    is alive
(icmp) Target 10.208.5.194    is alive
(icmp) Target 10.208.5.250    is alive
(icmp) Target 10.208.8.74     is alive
(icmp) Target 10.208.8.70     is alive
(icmp) Target 10.208.8.80     is alive
(icmp) Target 10.208.8.77     is alive
(icmp) Target 10.208.8.86     is alive
(icmp) Target 10.208.8.89     is alive
(icmp) Target 10.208.8.88     is alive
(icmp) Target 10.208.8.90     is alive
(icmp) Target 10.208.8.114    is alive
(icmp) Target 10.208.8.164    is alive
(icmp) Target 10.208.8.127    is alive
(icmp) Target 10.208.8.156    is alive
(icmp) Target 10.208.8.193    is alive
(icmp) Target 10.208.8.197    is alive
(icmp) Target 10.208.8.217    is alive
(icmp) Target 10.208.8.235    is alive
(icmp) Target 10.208.9.149    is alive
(icmp) Target 10.208.9.151    is alive
(icmp) Target 10.208.9.164    is alive
(icmp) Target 10.208.9.150    is alive
(icmp) Target 10.208.9.177    is alive
(icmp) Target 10.208.9.181    is alive
(icmp) Target 10.208.9.179    is alive
(icmp) Target 10.208.9.182    is alive
(icmp) Target 10.208.9.158    is alive
(icmp) Target 10.208.9.199    is alive
(icmp) Target 10.208.9.216    is alive
(icmp) Target 10.208.9.220    is alive
(icmp) Target 10.208.9.197    is alive
(icmp) Target 10.208.9.219    is alive
(icmp) Target 10.208.9.242    is alive
(icmp) Target 10.208.9.249    is alive
(icmp) Target 10.208.10.214   is alive
(icmp) Target 10.208.10.213   is alive
(icmp) Target 10.208.11.213   is alive
(icmp) Target 10.208.11.220   is alive
(icmp) Target 10.208.12.101   is alive
(icmp) Target 10.208.12.117   is alive
(icmp) Target 10.208.12.230   is alive
(icmp) Target 10.208.13.11    is alive
(icmp) Target 10.208.13.85    is alive
(icmp) Target 10.208.13.84    is alive
(icmp) Target 10.208.13.149   is alive
(icmp) Target 10.208.13.170   is alive
(icmp) Target 10.208.13.180   is alive
(icmp) Target 10.208.13.183   is alive
(icmp) Target 10.208.13.243   is alive
(icmp) Target 10.208.14.17    is alive
(icmp) Target 10.208.14.85    is alive
(icmp) Target 10.208.14.106   is alive
(icmp) Target 10.208.14.81    is alive
(icmp) Target 10.208.14.153   is alive
(icmp) Target 10.208.14.196   is alive
(icmp) Target 10.208.14.197   is alive
(icmp) Target 10.208.14.202   is alive
(icmp) Target 10.208.14.205   is alive
(icmp) Target 10.208.14.203   is alive
(icmp) Target 10.208.14.208   is alive
(icmp) Target 10.208.14.207   is alive
(icmp) Target 10.208.14.220   is alive
